City,State,Cost of Living Index,total_crime,Average Income,latitude,longitude,temp_month_1,precip_month_1,temp_month_2,precip_month_2,temp_month_3,precip_month_3,temp_month_4,precip_month_4,temp_month_5,precip_month_5,temp_month_6,precip_month_6,temp_month_7,precip_month_7,temp_month_8,precip_month_8,temp_month_9,precip_month_9,temp_month_10,precip_month_10,temp_month_11,precip_month_11,temp_month_12,precip_month_12,avg_annual_temp,avg_annual_precip
Syracuse,NY,95.1,86,63854.0,43.0481221,-76.1474244,-0.17,98.55,-0.9,61.84,0.93,82.47,10.33,110.15,13.32,48.82,18.87,140.51,22.78,115.59,20.18,140.5,17.8,55.01,12.97,76.87,3.79,60.72,3.23,123.84,10.260833333333334,92.90583333333332
Talladega,AL,87.4,1,43284.0,33.3967079,-86.1597137,9.8,258.21,12.69,165.17,13.83,177.63,16.62,104.59,20.66,201.87,24.09,106.12,27.14,165.13,27.09,150.63,23.53,56.6,17.68,21.5,11.48,35.22,8.15,70.03,17.73,126.05833333333332
Tallahassee,FL,96.4,58,57139.0,30.4380832,-84.2809332,13.97,171.58,17.4,94.3,18.29,85.59,20.27,91.37,23.26,66.84,26.11,134.1,28.5,159.01,29.17,115.49,25.61,133.41,20.52,79.86,15.74,82.06,12.69,249.72,20.960833333333337,121.94416666666666
Tampa,FL,101.4,41,63640.0,27.9477595,-82.458444,17.74,39.89,20.91,10.77,22.03,9.76,24.85,35.75,26.03,122.5,28.03,158.42,29.8,134.08,30.2,213.65,28.37,112.44,24.92,22.18,21.12,53.66,17.98,101.04,24.331666666666667,84.51166666666666
Terre Haute,IN,84.7,53,,39.4667025,-87.4139119,3.34,81.34,4.4,57.73,5.95,178.63,12.22,56.49,18.07,64.36,21.83,74.63,24.85,125.42,23.57,86.86,20.4,25.09,14.28,65.58,7.04,17.3,5.11,57.36,13.421666666666667,74.2325
Texarkana,TX,86.3,1,51132.0,33.44667445,-94.0771483052202,11.25,99.34,11.56,156.19,15.07,90.46,17.47,169.59,23.05,149.67,27.09,178.68,28.98,108.58,30.19,21.4,25.55,158.22,19.08,193.28,12.67,101.43,9.08,58.41,19.253333333333334,123.77083333333336
The Villages,FL,100.7,0,71231.0,28.9269978,-82.0041758,15.83,36.15,19.53,27.74,21.03,23.43,23.43,75.15,24.6,112.55,27.11,230.51,28.85,249.28,29.45,139.63,26.83,116.01,22.84,60.35,19.05,84.12,16.45,105.45,22.91666666666666,105.03083333333335
Toledo,OH,87.5,29,57012.0,41.6529143,-83.5378173,2.37,49.63,2.99,97.62,4.89,68.53,11.47,42.36,15.94,18.46,21.02,59.98,24.17,129.0,22.42,93.17,19.7,31.47,13.97,77.61,6.23,14.33,5.8,36.52,12.580833333333333,59.89000000000001
Topeka,KS,85.6,6,58412.0,39.049011,-95.677556,0.78,31.01,3.06,56.93,6.16,38.82,13.66,54.28,19.59,130.25,24.34,41.79,26.14,106.28,26.48,49.67,22.78,38.19,15.05,35.81,7.22,41.57,4.36,72.17,14.135000000000003,58.064166666666665
Torrington,CT,105.2,0,,41.8006523,-73.1212214,1.51,150.79,-0.19,41.11,2.35,113.92,9.69,116.24,12.93,97.25,17.71,66.81,22.85,348.09,19.69,106.55,17.38,325.24,12.58,89.47,2.96,54.91,2.42,226.14,10.156666666666665,144.71
Traverse City,MI,99.6,0,67800.0,44.7606481,-85.6165976,-0.53,50.63,-1.97,42.44,0.02,50.74,8.35,73.27,12.67,47.19,17.81,61.1,20.75,45.36,19.21,69.92,17.81,80.07,11.39,120.7,3.65,36.15,3.04,43.06,9.350000000000001,60.05250000000001
Trenton,NJ,104.3,2,84392.0,40.2203074,-74.7659,5.26,101.98,4.17,41.26,6.01,72.21,13.12,127.15,15.63,37.75,20.46,114.36,25.48,153.04,23.09,104.4,20.19,175.84,14.67,38.08,6.17,67.95,5.26,209.39,13.292499999999999,103.61749999999999
Truckee,CA,132.8,0,75539.0,39.327962,-120.1832533,-3.1,286.17,-1.92,173.51,-1.88,310.13,4.45,22.19,9.24,48.81,12.02,40.3,18.67,0.88,16.31,36.08,12.39,33.91,8.77,21.53,3.58,65.73,1.75,80.82,6.69,93.33833333333331
Tucson,AZ,97.7,156,58232.0,32.2228765,-110.974847,10.18,39.89,11.03,20.63,14.34,15.96,20.14,0.0,24.35,11.6,28.02,0.0,34.09,29.86,31.65,66.87,28.99,16.89,23.85,5.04,17.41,10.84,13.1,38.85,21.429166666666664,21.36916666666667
Tullahoma,TN,88.7,0,50163.0,35.3620235,-86.2094342,7.34,184.78,10.06,135.08,10.89,195.35,14.23,93.22,18.97,126.38,22.29,81.95,25.2,170.83,24.89,183.04,21.7,38.82,16.06,26.41,10.23,57.5,7.09,87.64,15.745833333333332,115.08333333333336
Tulsa,OK,86.7,35,78619.0,36.1563122,-95.9927516,4.96,36.32,6.77,85.0,9.91,124.24,14.96,70.51,20.45,89.42,25.19,81.27,27.62,90.54,28.11,105.57,24.48,87.41,16.2,98.52,10.83,24.6,7.12,51.61,16.383333333333333,78.75083333333332
Tupelo,MS,87.2,0,54255.0,34.2576067,-88.7033859,10.19,131.08,12.24,115.56,13.89,267.7,16.48,230.35,22.25,73.33,25.9,142.45,27.71,105.83,27.4,112.39,24.44,43.08,18.39,21.05,12.42,36.97,9.06,60.46,18.364166666666666,111.6875
Tuscaloosa,AL,91.0,75,44456.0,33.2095614,-87.5675258,10.38,181.68,13.12,114.65,14.2,125.79,17.35,149.62,21.33,78.38,25.09,83.76,27.23,192.36,27.92,72.58,24.61,37.99,18.87,12.85,12.39,50.82,9.1,90.19,18.465833333333332,99.22249999999998
Twin Falls,ID,91.2,3,52087.0,42.5558542,-114.4700684,-1.51,19.75,-0.9,8.78,1.14,24.68,7.81,6.07,15.87,33.62,17.48,22.68,24.45,0.49,22.08,15.39,16.88,17.68,10.69,28.37,3.76,25.04,1.28,20.22,9.919166666666667,18.56416666666667
Tyler,TX,92.8,19,66887.0,32.3512601,-95.3010624,10.59,116.08,11.02,98.71,15.07,106.38,16.56,170.59,22.19,51.21,26.62,80.09,29.14,22.17,31.24,5.41,26.5,82.04,19.43,129.54,12.76,59.62,9.94,70.12,19.255,82.66333333333333
Ukiah,CA,128.0,0,59050.0,39.1501662,-123.2077861,8.06,341.15,7.48,105.65,7.64,214.8,13.07,18.06,16.69,37.02,19.97,0.05,23.82,0.03,23.32,3.88,19.13,7.87,16.59,26.65,11.81,66.04,9.75,207.3,14.777499999999998,85.70833333333331
Utica,NY,94.1,2,56075.0,43.1009031,-75.2326641,-0.88,85.65,-2.41,54.33,0.27,71.78,9.36,95.45,13.16,68.25,18.37,128.55,22.36,129.22,19.34,174.93,17.26,44.45,12.35,102.4,2.43,76.71,2.15,136.22,9.480000000000002,97.32833333333333
Valdosta,GA,89.2,14,45758.0,30.8327022,-83.2784851,12.34,128.65,16.62,88.13,17.33,111.15,19.3,78.11,21.85,78.31,25.01,229.18,27.92,112.05,28.19,139.62,24.63,80.88,19.27,58.06,14.29,74.25,11.8,180.73,19.879166666666666,113.25999999999999
Vallejo,CA,125.2,9,64514.0,38.1040864,-122.2566367,10.67,229.64,9.56,81.66,9.91,226.27,13.79,4.55,14.7,15.95,16.42,0.43,19.6,0.0,20.31,0.31,17.88,3.65,18.04,9.77,14.45,34.56,12.2,102.03,14.794166666666664,59.06833333333331
Vineland,NJ,97.8,0,49367.0,39.4862777,-75.0254256,5.77,63.15,5.26,43.12,6.55,55.06,14.16,139.37,15.57,49.46,20.36,55.45,25.58,160.73,23.54,78.87,20.73,173.22,15.0,25.54,7.1,66.53,5.75,223.57,13.780833333333332,94.50583333333333
Virginia Beach,VA,99.0,6,72091.0,36.8496579,-75.9760751,8.83,97.39,10.2,59.98,10.69,47.81,16.64,95.55,17.74,60.46,22.37,143.77,27.43,105.59,26.24,155.14,23.51,77.93,17.88,36.41,11.19,71.78,9.42,170.79,16.845,93.55000000000001
Visalia,CA,103.6,0,48253.0,36.3302284,-119.292058,9.14,101.23,9.21,78.2,11.31,115.29,16.6,0.15,20.97,2.58,22.99,0.75,29.5,0.01,27.45,2.33,23.75,0.19,19.97,1.5,13.95,5.66,11.4,29.04,18.02,28.0775
Waco,TX,89.5,42,53941.0,31.5491899,-97.1474628,10.18,32.99,11.37,59.98,15.93,43.74,17.22,103.83,22.71,145.5,27.88,48.01,30.97,1.3,32.5,19.06,28.79,91.32,20.2,150.25,14.01,24.26,11.22,76.83,20.24833333333333,66.4225
Walla Walla,WA,100.9,9,56420.0,46.2055155,-118.5174284,2.35,17.52,2.77,14.09,5.81,24.25,9.84,38.39,17.43,6.02,19.91,1.52,24.12,0.39,23.57,10.73,18.23,14.76,11.9,30.77,4.56,38.48,3.62,48.23,12.009166666666667,20.429166666666664
Warner Robins,GA,90.5,0,50250.0,32.6200973,-83.606568,11.21,184.47,14.97,69.62,15.43,122.8,18.1,78.69,21.32,75.16,24.96,138.55,28.23,70.85,28.16,156.01,24.07,53.31,18.4,76.08,13.37,54.61,10.48,63.03,19.058333333333334,95.26499999999999
Warsaw,IN,92.3,0,,41.2381017,-85.8530544,0.87,60.12,1.24,106.07,3.2,109.82,9.96,78.22,15.97,38.64,20.15,73.23,22.28,131.89,21.19,65.26,18.52,44.58,12.28,110.6,4.62,12.4,3.46,49.45,11.145000000000001,73.35666666666667
Washington,DC,120.1,132,106816.0,38.8950368,-77.0365427,6.33,40.54,6.95,48.96,8.25,43.6,15.27,85.85,16.74,50.33,21.78,55.37,26.47,171.62,24.64,84.27,21.55,129.95,16.02,28.25,8.08,58.51,6.26,166.22,14.861666666666666,80.28916666666667
Waterloo,IA,87.6,1,55529.0,42.498275,-92.3328743,-4.94,57.61,-3.67,59.48,0.83,39.35,9.54,34.75,16.81,46.25,21.41,56.58,22.07,87.54,22.48,30.98,19.53,52.52,11.93,87.65,3.4,7.2,1.02,27.2,10.034166666666668,48.925833333333344
Watertown,WI,97.1,0,58374.0,43.194335,-88.7241822,-2.37,44.09,-3.21,85.35,0.62,70.94,8.57,80.33,14.56,31.11,19.78,40.48,22.03,89.82,20.99,98.58,18.5,78.74,11.22,85.22,2.81,30.7,1.43,33.19,9.5775,64.04583333333335
Watertown,NY,96.4,0,54926.0,43.9747838,-75.9107565,-2.77,111.85,-3.96,70.7,-0.75,83.0,8.44,91.37,11.81,62.76,17.68,94.0,21.15,139.48,18.71,149.3,16.26,35.65,11.34,123.1,2.23,76.17,1.45,124.56,8.465833333333334,96.82833333333333
Wausau,WI,88.9,0,62707.0,44.9597858,-89.6272791,-5.16,39.13,-6.13,56.18,-2.28,74.95,5.97,119.74,13.86,52.3,19.7,58.35,20.18,105.45,19.86,44.44,17.22,92.51,9.15,142.3,1.06,6.08,-0.18,19.65,7.770833333333333,67.58999999999999
Wenatchee,WA,106.6,0,68356.0,47.4234599,-120.310349,0.47,41.06,1.79,17.41,5.36,14.46,10.01,17.04,19.78,6.97,21.6,7.4,25.2,1.77,24.01,17.1,18.04,12.01,12.09,14.5,4.45,28.15,2.49,36.63,12.1075,17.875
Whitewater,WI,97.7,20,67665.0,42.8339562,-88.7306517,-2.01,40.09,-2.71,86.72,1.02,53.68,8.96,71.08,14.62,38.24,19.55,43.04,21.94,131.05,21.02,89.79,18.49,100.86,11.41,86.56,3.15,42.18,1.68,48.2,9.76,69.29083333333334
Wichita Falls,TX,85.7,4,55278.0,33.9004572,-98.5020777,8.65,29.05,8.77,45.49,12.88,88.29,16.44,52.48,22.46,97.26,27.85,31.69,30.65,67.03,32.63,2.58,28.0,34.76,19.38,137.82,12.78,7.91,9.31,38.86,19.150000000000002,52.768333333333324
Wichita,KS,86.8,17,61462.0,37.6922361,-97.3375448,2.65,26.58,3.78,34.67,7.92,4.28,13.94,22.32,19.95,66.71,24.4,114.45,27.0,132.5,27.9,51.16,24.01,28.98,15.92,120.76,8.24,69.32,5.11,67.06,15.068333333333333,61.56583333333333
Williamsport,PA,93.4,5,53630.0,41.2411556,-77.0011096,2.65,86.19,2.29,29.46,3.91,66.27,12.09,95.85,14.51,21.87,19.44,64.21,23.64,185.86,21.33,215.15,18.47,91.95,12.98,79.33,4.74,37.83,3.72,124.23,11.6475,91.51666666666667
Wilmington,NC,99.0,27,64831.0,34.2257282,-77.9447107,10.89,71.12,13.22,95.91,14.05,69.7,18.72,170.79,20.16,130.12,24.0,125.7,27.31,156.12,26.28,239.68,22.73,79.13,17.01,26.49,11.85,103.89,9.88,209.04,18.00833333333333,123.14083333333333
Wilson,NC,86.3,1,52627.0,35.7059114,-77.9175714,9.36,94.34,11.73,80.41,12.21,80.91,17.2,128.96,19.02,81.67,23.01,92.34,27.26,109.65,26.64,140.55,22.27,105.19,16.95,37.88,10.67,61.87,9.15,167.76,17.1225,98.46083333333333
Winchester,VA,97.2,2,,39.1852184,-78.1652404,4.27,29.43,5.55,49.0,6.74,49.07,13.22,63.32,14.86,68.24,18.88,72.08,24.85,81.11,23.42,31.49,19.49,135.66,14.14,39.47,6.24,64.39,4.53,98.34,13.015833333333335,65.13333333333334
Winston-Salem,NC,91.2,64,60481.0,36.0998131,-80.2440518,6.95,101.66,9.73,79.96,10.35,70.79,14.87,164.23,17.25,99.44,20.84,109.26,25.47,100.85,24.24,89.37,20.84,70.69,15.44,27.97,9.08,40.83,6.75,166.5,15.150833333333333,93.46250000000002
Wooster,OH,95.5,14,58161.0,40.7980976,-81.9397733,1.99,110.24,2.95,43.57,3.78,103.15,10.32,84.09,14.36,37.43,18.26,88.14,22.37,103.91,20.67,173.75,17.94,15.32,12.59,65.88,4.48,42.55,4.15,51.16,11.155000000000001,76.59916666666668
Worcester,MA,113.2,58,69301.0,42.2625621,-71.8018877,1.76,165.45,0.26,41.83,3.45,106.69,10.41,102.09,14.32,69.07,18.59,121.62,23.56,295.63,20.57,152.45,18.21,203.28,13.23,88.3,3.81,41.82,3.53,192.8,10.975000000000001,131.75249999999997
Yakima,WA,97.5,9,51488.0,46.601557,-120.510842,0.55,21.0,1.35,10.8,4.29,14.56,8.61,28.81,18.13,7.93,20.1,2.44,23.61,5.85,22.77,9.15,17.05,10.2,10.86,6.7,3.67,21.9,3.08,37.14,11.1725,14.706666666666669
York,PA,95.8,10,60915.0,39.962493,-76.7276989,4.35,63.59,4.89,31.75,6.04,67.4,13.47,120.17,15.47,17.77,20.27,89.74,25.51,114.62,23.58,54.19,20.11,118.27,14.26,46.59,6.12,55.28,4.62,135.38,13.224166666666667,76.22916666666667
Youngstown,OH,86.4,21,54630.0,41.1035786,-80.6520161,2.18,114.8,2.63,52.57,3.53,102.32,10.36,85.08,13.92,31.0,18.4,67.66,22.5,154.15,20.77,136.14,18.28,25.41,12.85,83.14,4.86,52.36,4.6,63.95,11.24,80.71499999999999
Yuba City,CA,108.7,0,53900.0,39.1404477,-121.6169108,9.04,222.9,8.85,57.11,10.03,140.2,15.93,6.93,20.08,28.07,23.05,1.77,27.72,0.0,26.8,3.66,22.16,7.35,19.1,15.32,13.71,12.2,11.09,85.24,17.296666666666667,48.395833333333336
Yuma,AZ,94.5,2,46441.0,32.665135,-114.476031572498,12.63,8.4,13.12,4.69,16.62,8.98,22.19,0.0,25.61,0.0,28.45,0.0,36.05,2.71,34.72,25.43,30.28,23.72,25.34,0.0,18.48,8.06,14.35,17.13,23.153333333333336,8.26
Zanesville,OH,87.6,1,52225.0,39.9401426,-82.005019,3.2,99.63,4.5,38.84,5.4,93.35,11.58,89.64,15.48,85.4,19.29,123.21,23.54,112.03,21.67,163.23,19.15,20.48,13.67,67.54,5.8,56.11,5.03,70.06,12.359166666666667,84.96
Bloomington,IL,89.0,2,61174.0,40.4797828,-88.9939147,0.8,41.94,1.72,73.86,4.52,96.72,11.51,50.35,17.68,54.42,21.66,57.45,23.39,66.06,22.67,63.32,19.61,104.49,13.6,81.57,5.35,22.58,3.79,69.14,12.191666666666665,65.15833333333335
California,MD,104.8,0,,38.2976295,-76.5081118,7.29,47.83,7.75,62.22,9.17,26.48,15.97,145.88,17.6,43.34,22.16,44.83,26.92,113.2,25.36,68.59,22.53,118.22,16.76,32.32,9.19,71.0,7.16,176.9,15.655,79.23416666666667
Crestview,FL,104.7,0,62236.0,30.7621326,-86.5705084,13.79,122.03,16.98,46.47,17.86,133.28,19.94,114.59,23.34,91.99,26.49,184.03,28.59,168.13,29.76,81.42,25.64,62.68,20.15,35.61,14.85,84.71,11.96,176.53,20.779166666666665,108.45583333333332
Glenwood Springs,CO,127.8,1,71629.0,39.5466381,-107.3246941,-5.35,57.25,-4.04,30.14,-1.64,55.92,4.12,27.24,12.42,30.05,14.86,27.29,21.73,10.11,20.24,34.46,15.57,18.68,8.62,53.04,2.28,19.5,-2.36,19.89,7.204166666666667,31.964166666666667
Greenfield Town,MA,106.2,0,,42.5940799,-72.5968736733931,0.9,152.65,-0.32,39.97,2.81,98.29,10.33,95.65,13.87,89.0,19.24,95.6,24.09,306.08,20.88,128.38,18.4,182.07,13.32,81.66,3.1,51.02,2.88,155.9,10.791666666666664,123.02250000000002
Hermiston,OR,97.9,0,53253.0,45.8404101,-119.28946,2.85,17.68,3.62,8.96,6.49,16.03,11.28,28.26,18.97,7.37,21.73,0.9,25.67,1.27,24.48,4.26,19.0,14.97,12.76,23.08,5.86,28.71,4.73,39.71,13.12,15.933333333333335
Holland,MI,96.2,5,63265.0,42.7876022,-86.1090828,0.37,82.72,0.11,99.66,2.21,122.15,9.22,81.22,14.72,23.5,19.83,31.47,21.78,125.45,20.54,73.69,18.2,39.08,11.65,137.41,4.75,40.15,4.07,65.43,10.620833333333335,76.8275
Jefferson,GA,97.4,0,58834.0,33.0380388,-82.436141,10.11,186.55,14.5,87.06,14.61,112.89,17.53,132.09,19.94,85.49,23.89,196.88,27.92,87.4,27.57,213.88,23.13,96.34,18.22,74.38,13.1,43.49,10.32,113.91,18.403333333333332,119.19666666666667
Lafayette,IN,88.7,0,,40.4191229,-86.8919011,1.54,49.03,2.41,92.07,4.17,112.41,10.91,47.47,17.03,35.03,20.97,33.5,23.01,159.26,21.72,99.57,19.19,19.25,13.0,94.63,5.64,12.96,3.77,67.76,11.946666666666665,68.57833333333333
Los Angeles,CA,140.6,652,78302.0,34.0536909,-118.242766,12.89,259.04,13.03,147.25,13.37,204.64,17.02,3.69,17.7,20.59,19.29,1.01,24.61,0.0,24.63,5.61,22.52,3.03,21.29,0.93,18.35,10.87,16.08,70.64,18.398333333333337,60.60833333333334
Sarasota,FL,104.4,11,85157.0,27.3365805,-82.5308545,17.83,35.94,20.68,4.75,21.75,4.86,24.43,80.32,25.45,111.79,27.75,117.41,29.5,121.17,29.47,234.62,27.93,90.23,24.72,21.56,21.08,29.71,17.88,93.22,24.039166666666663,78.79833333333333
Salem,OH,86.6,0,47871.0,40.9008923,-80.8567502,1.66,115.21,2.2,52.45,3.29,97.76,9.95,89.03,13.24,36.02,17.63,80.12,21.89,153.98,20.1,153.4,17.58,25.25,12.28,78.17,4.22,51.96,3.95,66.16,10.665833333333333,83.2925
Santa Maria,CA,143.0,3,82736.0,34.9531295,-120.435857,10.42,220.86,9.75,100.86,10.88,182.45,13.49,0.11,14.85,11.81,16.23,6.16,19.21,0.0,19.66,2.41,18.23,3.65,17.91,0.12,14.86,16.23,13.65,85.34,14.928333333333335,52.5
Honolulu,HI,158.0,101,69893.0,21.304547,-157.855676,9.58,384.66,7.94,101.47,7.49,294.87,10.91,30.4,12.04,42.03,13.44,0.28,14.95,0.36,15.85,6.23,13.51,13.2,14.14,37.32,12.67,89.07,12.12,264.83,12.053333333333333,105.39333333333333
Wisconsin Rapids,WI,86.9,0,56746.0,44.3917589,-89.8228767,-4.6,35.27,-4.56,51.15,-1.06,70.1,7.31,94.99,14.06,63.72,20.16,40.88,20.95,79.46,20.64,57.34,18.01,95.67,10.06,188.55,2.02,5.62,0.63,27.36,8.635,67.50916666666666
Stamford,CT,119.2,2,,41.0534302,-73.5387341,5.52,129.18,3.31,23.75,5.84,97.2,12.55,127.58,15.44,80.6,20.19,34.5,25.6,107.88,23.1,134.26,20.44,265.26,15.35,99.03,6.86,73.01,5.96,181.07,13.346666666666666,112.77666666666666
Fort Myers,FL,101.5,4,65878.0,26.640628,-81.8723084,18.97,19.62,21.78,3.66,22.27,8.22,24.88,107.44,25.81,137.37,27.67,142.32,29.43,112.49,29.38,214.38,28.31,172.0,25.4,59.05,22.39,66.0,18.94,94.27,24.602500000000003,94.735
Dallas,TX,98.5,96,79626.0,32.7762719,-96.7968559,10.76,40.67,11.07,82.09,15.45,87.67,17.81,71.3,23.41,73.33,28.16,80.33,31.14,17.91,33.16,0.89,28.51,61.6,20.06,275.04,13.86,21.05,11.0,88.37,20.36583333333333,75.02083333333333
Davenport,IA,87.2,21,66748.0,41.5235808,-90.5770967,-1.49,56.09,0.36,79.35,3.69,61.65,11.32,46.81,18.44,54.3,22.87,71.53,23.95,78.24,23.08,58.48,20.57,88.8,13.12,89.03,5.28,13.81,3.08,69.87,12.0225,63.99666666666666
Daytona Beach,FL,99.6,19,55824.0,29.2108147,-81.0228331,17.38,22.52,20.56,31.44,21.5,44.88,23.8,136.97,24.68,84.89,27.38,204.5,29.0,207.28,29.72,143.59,27.24,260.62,23.95,88.28,20.2,196.66,17.68,119.01,23.590833333333332,128.38666666666668
Hagerstown,MD,99.7,1,,39.6430455,-77.7191081,3.97,45.47,5.04,40.21,5.98,67.78,13.37,53.97,15.28,30.84,19.56,61.14,25.27,63.65,23.41,93.26,19.55,110.03,13.56,42.36,5.51,72.62,4.25,105.11,12.895833333333334,65.53666666666668
Logan,UT,95.2,14,50603.0,41.7313063,-111.834914,-4.81,90.94,-7.5,36.6,-1.87,97.65,4.69,53.38,15.12,26.0,16.77,49.29,23.57,8.42,21.58,65.2,16.29,57.73,9.68,53.86,2.83,40.35,-1.23,30.55,7.926666666666667,50.83083333333334
Louisville,KY,91.6,52,67663.0,38.2542376,-85.759407,5.14,145.62,7.17,79.11,8.11,175.62,13.48,74.07,18.35,85.1,22.07,118.97,25.58,92.77,24.18,130.1,21.77,27.82,14.96,69.93,8.97,29.23,6.05,53.62,14.652500000000002,90.16333333333334
Miami,FL,110.1,36,75182.0,25.7741728,-80.19362,22.07,1.55,24.0,100.98,24.4,75.21,25.82,277.2,26.62,155.89,28.22,299.56,29.8,192.56,29.81,215.34,28.75,262.45,27.04,89.35,25.23,257.59,21.76,89.6,26.12666666666667,168.10666666666663
Minneapolis,MN,105.4,164,95574.0,44.9772995,-93.2654692,-6.9,45.68,-6.92,58.68,-2.5,61.61,6.64,77.36,16.71,31.96,22.7,41.79,22.39,71.4,22.4,90.11,19.51,142.17,10.43,106.25,2.62,2.55,0.48,66.09,8.963333333333335,66.30416666666666
Ventura,CA,132.2,1,,34.4458248,-119.0779359,9.15,377.35,9.08,183.25,9.08,285.74,14.58,0.11,16.05,26.89,17.88,7.5,25.83,0.0,24.71,5.84,20.64,2.17,19.55,0.01,14.88,14.85,13.2,135.9,16.219166666666666,86.63416666666667
Melbourne,FL,99.3,19,60162.0,28.0785034,-80.6077908,18.16,13.12,21.0,41.76,21.71,36.51,24.34,124.78,24.78,79.29,27.2,177.96,28.57,306.87,29.05,196.93,27.59,185.86,24.9,99.24,22.02,121.39,19.19,121.46,24.0425,125.43083333333334
Vero Beach,FL,98.9,0,105827.0,27.6387163,-80.3975399,19.07,9.31,21.66,48.16,21.92,15.22,24.61,142.71,25.07,86.95,27.16,267.71,28.75,206.75,29.02,156.11,27.45,156.38,25.25,111.74,22.38,106.29,19.59,111.51,24.3275,118.23666666666666
Weirton,WV,82.6,0,53854.0,40.4002396,-80.5899788,2.97,97.96,3.58,39.75,4.54,85.38,11.29,78.4,14.67,50.72,18.51,98.42,23.0,114.66,21.42,140.85,18.77,19.59,13.27,83.97,5.29,54.64,4.85,70.93,11.846666666666666,77.93916666666668
Wheeling,WV,84.1,2,67565.0,40.0639616,-80.7209149,3.74,111.65,3.96,42.65,5.25,83.41,11.9,65.53,14.82,59.66,19.1,102.66,23.29,135.01,21.72,131.81,19.18,16.3,13.64,117.04,5.52,63.98,4.84,84.91,12.24666666666667,84.55083333333332
New London,CT,105.9,14,,41.3556187,-72.0997804,4.76,153.63,2.25,32.33,4.8,64.9,10.8,116.35,14.12,77.09,18.46,53.77,23.83,163.31,21.57,99.75,19.32,136.72,14.27,84.49,5.77,48.57,5.33,199.49,12.10666666666667,102.53333333333332
Daphne,AL,96.6,0,60969.0,30.6035255,-87.9036047,14.07,96.55,16.5,72.21,18.14,102.24,20.3,164.79,24.43,93.45,27.47,206.6,29.49,146.87,30.59,85.13,26.99,57.21,20.6,34.2,15.54,99.25,12.71,139.82,21.4025,108.19333333333333
Victoria,TX,89.5,1,58912.0,28.8026443,-96.9766308,15.33,109.76,15.67,33.43,20.07,28.55,20.95,167.59,25.26,94.59,29.59,30.48,31.18,31.95,32.11,7.46,30.25,88.88,23.14,131.69,16.66,78.96,15.25,28.61,22.955000000000002,69.32916666666668
Aberdeen,WA,97.6,3,49968.0,46.975371,-123.815722,6.91,232.18,5.3,142.63,6.11,135.47,8.23,164.68,14.19,19.53,14.26,13.27,16.67,19.49,18.36,15.69,14.66,77.13,11.77,105.27,6.96,271.0,7.8,330.37,10.935,127.22583333333334
